condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
A_no_filter_weak_seed24,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
A_no_filter_weak_seed24,1,0.578,0.6239316239316239,0.4697986577181208,2.156069373765151,0.5025268209496427,0.13926206733235824,0.8977143462987658,20000,0.43515
A_no_filter_weak_seed24,2,0.5665,0.6125356125356125,0.45805369127516776,2.157610355851953,0.4700036292441356,0.11653381625482795,0.8675005677023422,20000,0.43285
A_no_filter_weak_seed24,3,0.5658,0.6121082621082621,0.45671140939597316,2.159539572366263,0.45807505837888085,0.11653381625482795,0.8675005677023422,20000,0.42305
A_no_filter_weak_seed24,4,0.5589,0.600997150997151,0.4597315436241611,2.153478608235404,0.43850496218481416,0.10814215861858897,0.8498009906029831,20000,0.42765
A_no_filter_weak_seed24,5,0.5613,0.6052706552706553,0.4577181208053691,2.1563728478873383,0.43850496218481416,0.10814215861858897,0.8439700702922034,20000,0.4373
A_no_filter_weak_seed24,6,0.5512,0.5947293447293447,0.44865771812080535,2.155652666047286,0.41551544396015067,0.09431067947014242,0.8324092478911541,20000,0.43445
A_no_filter_weak_seed24,7,0.5456,0.5905982905982906,0.4395973154362416,2.1564063303519725,0.4117347211202504,0.09982033528110595,0.8266785731821823,20000,0.44575
A_no_filter_weak_seed24,8,0.55,0.5990028490028491,0.43456375838926176,2.1545961297380205,0.38934572622680513,0.09431067947014242,0.8209805520675575,20000,0.44915
A_no_filter_weak_seed24,9,0.5503,0.6001424501424502,0.43288590604026844,2.14637562634464,0.4117347211202504,0.09982033528110595,0.815314814531893,20000,0.46015
A_no_filter_weak_seed24,10,0.5463,0.5923076923076923,0.43791946308724833,2.1534192001752066,0.3930425881081257,0.09982033528110595,0.8266785731821823,20000,0.4595
A_no_filter_weak_seed24,11,0.5461,0.5920227920227921,0.43791946308724833,2.14901633889806,0.38199275192155707,0.09431067947014242,0.8209805520675575,20000,0.45855
A_no_filter_weak_seed24,12,0.5485,0.5943019943019943,0.4406040268456376,2.1401215506522857,0.38934572622680513,0.09156719352439464,0.8209805520675575,20000,0.456
A_no_filter_weak_seed24,13,0.5437,0.5817663817663817,0.4540268456375839,2.142923274124765,0.385662480810514,0.08883121370552283,0.8096809968136497,20000,0.4576
A_no_filter_weak_seed24,14,0.5451,0.5893162393162393,0.44093959731543625,2.1458889383018693,0.38934572622680513,0.08610269905232185,0.8209805520675575,20000,0.45995
A_no_filter_weak_seed24,15,0.5437,0.5890313390313391,0.4369127516778524,2.1412855628591574,0.385662480810514,0.09706171284202933,0.8040787412649923,20000,0.45895
A_no_filter_weak_seed24,16,0.5415,0.5858974358974359,0.4369127516778524,2.1344886171395463,0.3930425881081257,0.1025865887739931,0.8096809968136497,20000,0.45865
A_no_filter_weak_seed24,17,0.5386,0.5834757834757834,0.43288590604026844,2.1407034558393003,0.3930425881081257,0.09431067947014242,0.8040787412649923,20000,0.4681
A_no_filter_weak_seed24,18,0.5387,0.5789173789173789,0.44395973154362417,2.144879102367766,0.38934572622680513,0.09156719352439464,0.8040787412649923,20000,0.4508
A_no_filter_weak_seed24,19,0.5413,0.5836182336182336,0.44161073825503355,2.140038975914256,0.38934572622680513,0.09431067947014242,0.8096809968136497,20000,0.46195
A_no_filter_weak_seed24,20,0.5338,0.5777777777777777,0.4302013422818792,2.138712744425477,0.385662480810514,0.09431067947014242,0.8040787412649923,20000,0.46705
