condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,synthetic_label_error
C_goldilocks_weak_seed5,0,0.5625,0.6032763532763533,0.4664429530201342,,0.8567834645901004,0.3664911015650646,1.1978983532140843,0,
C_goldilocks_weak_seed5,1,0.5689,0.6041310541310542,0.48590604026845635,2.1211990373514156,0.4700036292441356,0.15665381004420728,0.8734707346888317,12000,0.46708333333333335
C_goldilocks_weak_seed5,2,0.5659,0.6051282051282051,0.473489932885906,2.1456354856929325,0.43850496218481416,0.12471360455350496,0.8498009906029831,12084,0.4357000993048659
C_goldilocks_weak_seed5,3,0.5524,0.591025641025641,0.46140939597315433,2.1273261760700546,0.40796823832477913,0.11372876532722254,0.8381729526078909,12042,0.4478491944859658
C_goldilocks_weak_seed5,4,0.5416,0.5834757834757834,0.4429530201342282,2.1331549015231253,0.4004775665956327,0.12499649017355216,0.8381729526078909,12107,0.45932105393573963
C_goldilocks_weak_seed5,5,0.5334,0.5742165242165242,0.437248322147651,2.1335332161889498,0.37833644071845185,0.09706171284202933,0.815314814531893,12124,0.4609864731111844
C_goldilocks_weak_seed5,6,0.5362,0.5736467236467236,0.44798657718120805,2.116495959082861,0.3674470409191995,0.11934675763143951,0.815314814531893,12086,0.4749296706933642
C_goldilocks_weak_seed5,7,0.5307,0.5696581196581196,0.4389261744966443,2.132156591174445,0.3602527652851827,0.09706171284202933,0.7985076962155494,12096,0.470734126984127
C_goldilocks_weak_seed5,8,0.5282,0.5740740740740741,0.42013422818791946,2.1117536107683694,0.3638434334159062,0.09706171284202933,0.8096809968136497,12075,0.4817391304347826
C_goldilocks_weak_seed5,9,0.5214,0.5666666666666667,0.4147651006711409,2.128355725646198,0.3531098777728127,0.09431067947014242,0.8040787412649923,12054,0.483739837398374
C_goldilocks_weak_seed5,10,0.5133,0.5555555555555556,0.41375838926174496,2.1233921025278075,0.33547273628673085,0.09156719352439464,0.7929675158399463,12152,0.4873271889400922
C_goldilocks_weak_seed5,11,0.5083,0.5517094017094017,0.40604026845637586,2.1131532259584813,0.33198233134696714,0.09431067947014242,0.7985076962155494,12050,0.4947717842323651
C_goldilocks_weak_seed5,12,0.5043,0.5438746438746439,0.4110738255033557,2.116836921255655,0.32158362412608305,0.07257069283376014,0.7929675158399463,12028,0.49592617226471564
C_goldilocks_weak_seed5,13,0.5036,0.5435897435897435,0.40939597315436244,2.1063701731601427,0.3181412799351149,0.09156719352439464,0.7819783942643752,12013,0.5181053858320153
C_goldilocks_weak_seed5,14,0.4983,0.5364672364672365,0.4083892617449664,2.119400144437583,0.33547273628673085,0.08338160893796408,0.7929675158399463,12070,0.5073736536868269
C_goldilocks_weak_seed5,15,0.4984,0.5388888888888889,0.40302013422818794,2.1033815830047367,0.31471074483833045,0.08610269905232185,0.771108722027495,12038,0.5244226615716896
C_goldilocks_weak_seed5,16,0.4983,0.5344729344729344,0.41308724832214766,2.1276784165352596,0.31471074483833045,0.07257069283376014,0.7929675158399463,12052,0.5067208762031198
C_goldilocks_weak_seed5,17,0.4992,0.5324786324786325,0.42080536912751676,2.1134458168285044,0.31471074483833045,0.08338160893796408,0.7929675158399463,12087,0.5150988665508397
C_goldilocks_weak_seed5,18,0.4983,0.5292022792022792,0.425503355704698,2.1338751722638625,0.31471074483833045,0.08066790306637082,0.7874578600289889,12104,0.5151189689358889
C_goldilocks_weak_seed5,19,0.4965,0.5284900284900285,0.4211409395973154,2.092858775415746,0.3011050927825703,0.07257069283376014,0.771108722027495,12098,0.5280211605224004
C_goldilocks_weak_seed5,20,0.4957,0.5301994301994302,0.41442953020134227,2.1169349038377265,0.3011050927825703,0.08338160893796408,0.771108722027495,12062,0.5222185375559608
