condition,generation,acc_all,acc_head,acc_tail,diversity_entropy,median_surprisal_test,p10_surprisal_test,p90_surprisal_test,n_synth_filtered,n_synth_accumulated,synthetic_label_error,agreement_rate
I_diverse_ensemble_accumulate_seed8,0,0.5618,0.6111111111111112,0.44563758389261743,,0.9315637954032522,0.4198572532257799,1.2575473182603443,0,0,,
I_diverse_ensemble_accumulate_seed8,1,0.5627,0.6172364672364672,0.4342281879194631,0.1039216504524326,0.9533149207459658,0.39727301226768863,1.2832344268276201,511,511,0.0,0.5204
I_diverse_ensemble_accumulate_seed8,2,0.5605,0.6131054131054131,0.43657718120805367,0.2462410062264217,0.9673321049631096,0.3615449330943998,1.2982350754333811,536,1047,0.0,0.50615
I_diverse_ensemble_accumulate_seed8,3,0.5536,0.6054131054131054,0.43154362416107384,0.28091911247251006,0.9585231287549065,0.3411112176652862,1.2809322332769801,544,1591,0.007352941176470588,0.5126
I_diverse_ensemble_accumulate_seed8,4,0.5527,0.6051282051282051,0.4291946308724832,0.3008065584136936,0.9621007310232952,0.2914095869284837,1.2933553625133083,549,2140,0.009107468123861567,0.5059
I_diverse_ensemble_accumulate_seed8,5,0.5484,0.6007122507122508,0.42516778523489934,0.2930027576458155,0.966420262281924,0.246003370843312,1.2951249871132748,547,2687,0.009140767824497258,0.48835
I_diverse_ensemble_accumulate_seed8,6,0.5448,0.5962962962962963,0.42348993288590603,0.2725977852402341,0.9622472937900142,0.21155722307043956,1.2860362070894245,542,3229,0.02952029520295203,0.49345
I_diverse_ensemble_accumulate_seed8,7,0.5411,0.5931623931623932,0.4184563758389262,0.30841873568442363,0.9691600636585584,0.14768564681137183,1.286878961976834,551,3780,0.036297640653357534,0.49155
I_diverse_ensemble_accumulate_seed8,8,0.5431,0.5905982905982906,0.4312080536912752,0.25078764389432806,0.9568157170453353,0.10919132372673725,1.2935191755837594,537,4317,0.0595903165735568,0.4853
I_diverse_ensemble_accumulate_seed8,9,0.5365,0.5856125356125356,0.42080536912751676,0.24162893126180962,0.947650202916766,0.0944010338389367,1.272566375535224,535,4852,0.056074766355140186,0.47745
I_diverse_ensemble_accumulate_seed8,10,0.537,0.5849002849002849,0.42416107382550333,0.35371991364833755,0.9409117626488516,0.06172038901243188,1.2743016972869479,564,5416,0.06028368794326241,0.47245
I_diverse_ensemble_accumulate_seed8,11,0.5341,0.5827635327635328,0.41946308724832215,0.2890263870073845,0.9496642225061152,0.05233211425153992,1.2797253444792505,546,5962,0.08058608058608059,0.47185
I_diverse_ensemble_accumulate_seed8,12,0.5315,0.5786324786324787,0.4204697986577181,0.33366049674707404,0.9485569109923819,0.04107410855804689,1.279840587859659,558,6520,0.06451612903225806,0.46545
I_diverse_ensemble_accumulate_seed8,13,0.5279,0.5762108262108262,0.4140939597315436,0.31949467280021765,0.9437209148116592,0.030091394049650357,1.2781208231861083,554,7074,0.0812274368231047,0.4603
I_diverse_ensemble_accumulate_seed8,14,0.5341,0.5797720797720798,0.42651006711409395,0.35047050385036815,0.9428061790603379,0.02543255348648529,1.267741076608643,563,7637,0.0994671403197158,0.4479
I_diverse_ensemble_accumulate_seed8,15,0.5327,0.5782051282051283,0.425503355704698,0.29692912319660925,0.9414925459317074,0.021161272759879262,1.2651971331187997,548,8185,0.10218978102189781,0.4498
I_diverse_ensemble_accumulate_seed8,16,0.5267,0.5762108262108262,0.41006711409395974,0.3471844458278271,0.9390018766960204,0.019364299124345414,1.2781041271492135,562,8747,0.13701067615658363,0.45175
I_diverse_ensemble_accumulate_seed8,17,0.5236,0.5706552706552707,0.412751677852349,0.32666084120494177,0.9552644201838734,0.01685954466393334,1.2799200253525078,556,9303,0.12410071942446044,0.4526
I_diverse_ensemble_accumulate_seed8,18,0.5252,0.5707977207977208,0.41778523489932884,0.3471844458278271,0.9543702137267507,0.015767892834503514,1.2908238313657665,562,9865,0.11921708185053381,0.44915
I_diverse_ensemble_accumulate_seed8,19,0.5251,0.573076923076923,0.4120805369127517,0.32666084120494177,0.938003104800639,0.01371163587570662,1.2732641750925733,556,10421,0.10251798561151079,0.43275
I_diverse_ensemble_accumulate_seed8,20,0.5235,0.568945868945869,0.41644295302013423,0.2767858315600772,0.9472477027745985,0.011364721076519192,1.276137781677823,543,10964,0.12154696132596685,0.43125
